Title,Published,Summary
Deriving Cyber-security Requirements for Cyber Physical Systems,2019-01-07T15:05:41Z,"Today's cyber physical systems (CPS) are not well protected against cyber
attacks. Protected CPS often have holes in their defense, due to the manual
nature of today's cyber security design process. It is necessary to automate or
semi-automate the design and implementation of CPS to meet stringent cyber
security requirements (CSR), without sacrificing functional performance, timing
and cost constraints. Step one is deriving, for each CPS, the CSR that flow
from the particular functional design for that CPS. That is the task assumed by
our system, Deriving Cyber-security Requirements Yielding Protected Physical
Systems - DCRYPPS. DCRYPPS applies Artificial Intelligence (AI) technologies,
including planning and model based diagnosis to an important area of cyber
security."
RNNSecureNet: Recurrent neural networks for Cyber security use-cases,2019-01-05T17:18:14Z,"Recurrent neural network (RNN) is an effective neural network in solving very
complex supervised and unsupervised tasks. There has been a significant
improvement in RNN field such as natural language processing, speech
processing, computer vision and other multiple domains. This paper deals with
RNN application on different use cases like Incident Detection, Fraud
Detection, and Android Malware Classification. The best performing neural
network architecture is chosen by conducting different chain of experiments for
different network parameters and structures. The network is run up to 1000
epochs with learning rate set in the range of 0.01 to 0.5.Obviously, RNN
performed very well when compared to classical machine learning algorithms.
This is mainly possible because RNNs implicitly extracts the underlying
features and also identifies the characteristics of the data. This helps to
achieve better accuracy."
Cyber-Security in the Emerging World of Smart Everything,2021-09-13T09:46:50Z,"The fourth industrial revolution (4IR) is a revolution many authors believe
have come to stay. It is a revolution that has been fast blurring the line
between physical, digital and biological technologies. These disruptive
technologies largely rely on high-speed internet connectivity, Cloud
technologies, Augmented Reality, Additive Manufacturing, Data science and
Artificial Intelligence. Most developed economies have embraced the it while
the developing economies are struggling to adopt 4IR because they lack the
requisite skills, knowledge and technology. Thus, this study investigates
Nigeria as one of the developing economies to understand her readiness for 4IR
and the level of preparedness to mitigate the sophisticated cyber-attacks that
comes with it. The investigation adopted quantitative research approach and
developed an online questionnaire that was shared amongst the population of
interest that includes academic, industry experts and relevant stakeholders.
The questionnaire returned 116 valid responses which were analysed with
descriptive statistical tools in SPSS. Results suggest that 60 of the
respondents opined that Nigerian government at are not showing enough evidence
to demonstrate her preparedness to leverage these promised potentials by
developing 4IR relevant laws, strong institutional frameworks and policies.
They lack significant development capacity to mitigate risks associated with
digital ecosystem and cyber ecosystem that are ushered in by the 4IR. In the
universities, 52 of the courses offered at the undergraduate and 42 at the
post-graduate levels are relevant in the development of skills required in the
revolution. The study recommends that the government at all levels make
adequate efforts in developing the countrys intangible assets. In all, this
paper posits that successful implementation of these could equip Nigeria to
embrace the 4IR in all its aspects."
"From Cyber-Security Deception To Manipulation and Gratification Through
  Gamification",2019-03-21T10:48:16Z,"With the ever growing networking capabilities and services offered to users,
attack surfaces have been increasing exponentially, additionally, the intricacy
of network architectures has increased the complexity of cyber-defenses, to
this end, the use of deception has recently been trending both in academia and
industry. Deception enables to create proactive defense systems, luring
attackers in order to better defend the systems at hand. Current applications
of deception, only rely on static, or low interactive environments. In this
paper we present a platform that combines human-computer-interaction,
analytics, gamification and deception to lure malicious users into selected
traps while piquing their interests. Furthermore we analyse the interactive
deceptive aspects of the platform through the addition of a narrative, further
engaging malicious users into following a predefined path and deflecting
attacks from key network systems."
A Comparative Analysis of the Cyber Security Strategy of Bangladesh,2019-05-01T13:04:57Z,"Technology is an endless evolving expression in modern era, which increased
security concerns and pushed us to create cyber environment. A National Cyber
Security Strategy (NCSS) of a country reflects the state of that country's
cyber strength which represents the aim and vision of the cyber security of a
country. Formerly, researchers have worked on NCSS by comparing NCSS between
different nations for international collaboration and harmonization and some
researchers worked on policy framework for their respective governments.
However very insignificant attempts had been made to assess the strategic
strength of NCSS of Bangladesh by performing cross comparisons on NCSS of
different Nations. Therefore, the motive of this research is to evaluate the
robustness of the existing cyber security strategy of Bangladesh in comparison
with some of the most technologically advanced countries in Asian continent and
others like USA, Japan, Singapore, Malaysia and India in order to keep the NCSS
of Bangladesh up-to-date."
On the Cost of Cyber Security in Smart Business,2019-05-15T09:59:39Z,"In a world, as complex and constantly changing as ours cloud computing is a
driving force for shaping the IT landscape and changing the way we do business.
Current trends show a world of people, things and services all digitally
interconnected via the Internet of Things (IoT). This applies in particular to
an industrial environment where smart devices and intelligent services pave the
way for smart factories and smart businesses. This paper investigates in a use
case driven study the potential of making use of smart devices to enable
direct, automated and voice-controlled smart businesses. Furthermore, the paper
presents an initial investigation on methodologies for measuring costs of cyber
security controls for cloud services."
ACE -- An Anomaly Contribution Explainer for Cyber-Security Applications,2019-12-01T04:16:12Z,"In this paper, we introduce Anomaly Contribution Explainer or ACE, a tool to
explain security anomaly detection models in terms of the model features
through a regression framework, and its variant, ACE-KL, which highlights the
important anomaly contributors. ACE and ACE-KL provide insights in diagnosing
which attributes significantly contribute to an anomaly by building a
specialized linear model to locally approximate the anomaly score that a
black-box model generates. We conducted experiments with these anomaly
detection models to detect security anomalies on both synthetic data and real
data. In particular, we evaluate performance on three public data sets: CERT
insider threat, netflow logs, and Android malware. The experimental results are
encouraging: our methods consistently identify the correct contributing feature
in the synthetic data where ground truth is available; similarly, for real data
sets, our methods point a security analyst in the direction of the underlying
causes of an anomaly, including in one case leading to the discovery of
previously overlooked network scanning activity. We have made our source code
publicly available."
"Vulnerability Assessment of Load Frequency Control Considering Cyber
  Security",2020-03-12T08:34:38Z,"Security is one of the biggest concern in power system operation. Recently,
the emerging cyber security threats to operational functions of power systems
arouse high public attention, and cybersecurity vulnerability thus become an
emerging topic to evaluate compromised operational performance under cyber
attack. In this paper, vulnerability of cyber security of load frequency
control (LFC) system, which is the key component in energy manage system (EMS),
is assessed by exploiting the system response to attacks on LFC
variables/parameters. Two types of attacks: 1) injection attack and 2) scale
attack are considered for evaluation. Two evaluation criteria reflecting the
damage on system stability and power generation are used to quantify system
loss under cyber attacks. Through a sensitivity-based method and attack tree
models, the vulnerability of different LFC components is ranked. In addition, a
post-intrusion cyber attack detection scheme is proposed. Classification-based
schemes using typical classification algorithms are studied and compared to
identify different attack scenarios."
Bayesian Models Applied to Cyber Security Anomaly Detection Problems,2020-03-23T16:26:13Z,"Cyber security is an important concern for all individuals, organisations and
governments globally. Cyber attacks have become more sophisticated, frequent
and dangerous than ever, and traditional anomaly detection methods have been
proved to be less effective when dealing with these new classes of cyber
threats. In order to address this, both classical and Bayesian models offer a
valid and innovative alternative to the traditional signature-based methods,
motivating the increasing interest in statistical research that it has been
observed in recent years. In this review we provide a description of some
typical cyber security challenges, typical types of data and statistical
methods, paying special attention to Bayesian approaches for these problems."
"SOK: Building a Launchpad for Impactful Satellite Cyber-Security
  Research",2020-10-21T09:58:00Z,"As the space industry approaches a period of rapid change, securing both
emerging and legacy satellite missions will become vital. However, space
technology has been largely overlooked by the systems security community. This
systematization of knowledge paper seeks to understand why this is the case and
to offer a starting point for technical security researchers seeking impactful
contributions beyond the Earth's mesosphere.
  The paper begins with a cross-disciplinary synthesis of relevant threat
models from a diverse array of fields, ranging from legal and policy studies to
aerospace engineering. This is presented as a ""threat matrix toolbox"" which
security researchers may leverage to motivate technical research into given
attack vectors and defenses. We subsequently apply this model to an original
chronology of more than 100 significant satellite hacking incidents spanning
the previous 60 years. Together, these are used to assess the state-of-the-art
in satellite security across four sub-domains: satellite radio-link security,
space hardware security, ground station security, and operational/mission
security. In each area, we note significant findings and unresolved questions
lingering in other disciplines which the systems security community is aptly
poised to tackle. By consolidating this research, we present the case that
satellite systems security researchers can build on strong, but disparate,
academic foundations and rise to meet an urgent need for future space missions."
A reputation game on cyber-security and cyber-risk calibration,2020-11-30T06:20:46Z,"To analyze strategic interactions arising in the cyber-security context, we
develop a new reputation game model in which an attacker can pretend to be a
normal user and a defender may have to announce attack detection at a certain
point of time without knowing whether he has been attacked. We show the
existence and uniqueness of sequential equilibrium in Markov strategies, and
explicitly characterize the players' equilibrium strategies. Using our model,
we suggest empirical and theoretical ways of calibrating the attack
probability, which is an important element of cyber-risks."
"Research Communities in cyber security: A Comprehensive Literature
  Review",2021-04-22T14:53:01Z,"In order to provide a coherent overview of cyber security research, the
Scopus academic abstract and citation database was mined to create a citation
graph of 98,373 authors active in the field between 1949 and early 2020. The
Louvain community detection algorithm was applied to the graph in order to
identify existing research communities. The analysis discovered twelve
top-level communities: access control, authentication, biometrics, cryptography
(I & II), cyber-physical systems, information hiding, intrusion detection,
malwares, quantum cryptography, sensor networks, and usable security. These
top-level communities were in turn composed of a total of 80 sub-communities.
The analysis results are presented for each community in descriptive text,
sub-community graphs, and tables with, for example, the most-cited papers and
authors. A comparison between the detected communities and topical areas
defined by other related work, is also presented, demonstrating a greater
researcher emphasis on cryptography, quantum cryptography, information hiding
and biometrics, at the expense of laws and regulation, risk management and
governance, and security software lifecycle."
